iter	Passed	Remaining
411	3651	5211
412	3663	5206
413	3674	5201
414	3687	5197
415	3698	5192
416	3709	5186
417	3721	5181
418	3734	5178
419	3746	5173
420	3757	5168
421	3769	5163
422	3781	5157
423	3792	5152
424	3804	5146
425	3813	5138
426	3824	5132
427	3836	5126
428	3847	5121
429	3861	5118
430	3872	5112
431	3884	5107
432	3896	5101
433	3908	5096
434	3920	5091
435	3932	5086
436	3943	5079
437	3955	5074
438	3967	5070
439	3980	5065
440	3991	5059
441	4003	5053
442	4014	5047
443	4026	5042
444	4041	5039
445	4052	5034
446	4064	5028
447	4075	5021
448	4088	5017
449	4102	5013
450	4114	5008
451	4125	5002
452	4135	4994
453	4146	4986
454	4157	4979
455	4168	4972
456	4178	4965
457	4189	4957
458	4200	4950
459	4211	4943
460	4222	4936
461	4233	4930
462	4245	4923
463	4257	4917
464	4269	4912
465	4281	4906
466	4294	4900
467	4306	4895
468	4318	4889
469	4328	4881
470	4339	4874
471	4352	4868
472	4364	4863
473	4376	4856
474	4388	4850
475	4400	4844
476	4413	4838
477	4425	4833
478	4437	4827
479	4450	4821
480	4462	4815
481	4474	4808
482	4487	4803
483	4499	4797
484	4511	4790
485	4525	4785
486	4537	4780
487	4559	4784
488	4571	4777
489	4582	4769
490	4594	4762
491	4606	4756
492	4618	4749
493	4630	4743
494	4645	4739
495	4657	4732
496	4669	4726
497	4682	4719
498	4694	4713
499	4706	4706
500	4719	4700
501	4730	4693
502	4743	4687
503	4756	4680
504	4767	4673
505	4780	4667
506	4792	4660
507	4804	4652
508	4816	4645
509	4827	4638
510	4838	4630
511	4851	4623
512	4863	4616
513	4875	4610
514	4888	4603
515	4899	4596
516	4911	4588
517	4923	4581
518	4935	4574
519	4946	4566
520	4960	4560
521	4972	4553
522	4982	4544
523	4994	4537
524	5007	4530
525	5018	4522
526	5031	4516
527	5043	4508
528	5057	4503
529	5070	4496
530	5081	4488
531	5093	4480
532	5105	4473
533	5117	4466
534	5129	4458
535	5142	4451
536	5153	4443
537	5164	4435
538	5176	4427
539	5189	4420
540	5200	4412
541	5212	4404
542	5234	4405
543	5245	4396
544	5257	4389
545	5270	4382
546	5281	4373
547	5293	4366
548	5304	4357
549	5316	4349
550	5327	4341
551	5338	4332
552	5350	4324
553	5361	4316
554	5373	4308
555	5386	4301
556	5397	4292
557	5408	4284
558	5419	4275
559	5431	4267
560	5443	4259
561	5455	4251
562	5467	4243
563	5478	4235
564	5490	4226
565	5501	4218
566	5513	4210
567	5524	4201
568	5536	4194
569	5548	4185
570	5560	4177
571	5573	4170
572	5585	4162
573	5596	4153
574	5607	4144
575	5620	4137
576	5632	4128
577	5645	4121
578	5658	4114
579	5670	4106
580	5683	4098
581	5695	4090
582	5718	4090
583	5736	4086
584	5750	4079
585	5762	4070
586	5773	4061
587	5786	4054
588	5799	4047
589	5811	4038
590	5823	4029
591	5835	4022
592	5848	4013
593	5859	4004
594	5869	3995
595	5881	3986
596	5894	3978
597	5905	3970
598	5917	3961
599	5929	3952
600	5941	3944
601	5953	3936
602	5964	3927
603	5976	3918
604	5987	3908
605	5997	3899
606	6008	3890
607	6021	3882
608	6034	3874
609	6050	3868
610	6061	3859
611	6072	3850
612	6085	3841
613	6096	3832
614	6106	3822
615	6117	3813
616	6130	3805
617	6142	3796
618	6152	3787
619	6162	3777
620	6174	3768
621	6186	3759
622	6197	3750
623	6207	3740
624	6219	3731
625	6231	3722
626	6243	3713
627	6254	3704
628	6266	3695
629	6276	3686
630	6287	3676
631	6298	3667
632	6310	3658
633	6323	3650
634	6335	3641
635	6347	3633
636	6360	3624
637	6371	3614
638	6382	3605
639	6393	3596
640	6405	3587
641	6416	3578
642	6428	3569
643	6439	3559
644	6450	3550
645	6462	3541
646	6472	3531
647	6484	3522
648	6494	3512
649	6505	3502
650	6515	3492
651	6527	3483
652	6538	3474
653	6549	3464
654	6560	3455
655	6570	3445
656	6581	3435
657	6591	3425
658	6603	3416
659	6612	3406
660	6623	3396
661	6634	3387
662	6646	3378
663	6658	3369
664	6671	3360
665	6683	3351
666	6693	3341
667	6705	3332
668	6719	3324
669	6729	3314
670	6740	3305
671	6751	3295
672	6761	3285
673	6773	3276
674	6789	3269
675	6800	3259
676	6812	3250
677	6823	3240
678	6833	3230
679	6844	3221
680	6855	3211
681	6866	3201
682	6875	3191
683	6884	3180
684	6894	3170
685	6903	3159
686	6912	3149
687	6920	3138
688	6929	3128
689	6939	3117
690	6947	3106
691	6957	3096
692	6967	3086
693	6978	3076
694	6987	3066
695	6997	3056
696	7008	3046
697	7017	3036
698	7027	3026
699	7037	3016
700	7048	3006
701	7058	2996
702	7067	2985
703	7077	2975
704	7087	2965
705	7097	2955
706	7105	2944
707	7114	2934
708	7126	2924
709	7136	2914
710	7145	2904
711	7156	2894
712	7165	2884
713	7175	2874
714	7183	2863
715	7193	2853
716	7202	2843
717	7213	2832
718	7223	2822
719	7233	2813
720	7244	2803
721	7253	2792
722	7263	2782
723	7272	2772
724	7282	2762
725	7291	2751
726	7300	2741
727	7309	2731
728	7319	2721
729	7328	2710
730	7337	2700
731	7346	2689
732	7355	2679
733	7363	2668
734	7372	2658
735	7381	2647
736	7390	2637
737	7398	2626
738	7407	2616
739	7415	2605
740	7423	2594
741	7432	2584
742	7441	2573
743	7450	2563
744	7458	2552
745	7467	2542
746	7476	2532
747	7485	2521
748	7494	2511
749	7502	2500
750	7510	2490
751	7519	2479
752	7527	2469
753	7536	2458
754	7546	2448
755	7554	2438
756	7562	2427
757	7571	2417
758	7579	2406
759	7587	2396
760	7596	2385
761	7604	2375
762	7614	2365
763	7623	2354
764	7632	2344
765	7641	2334
766	7650	2324
767	7660	2314
768	7670	2303
769	7678	2293
770	7687	2283
771	7695	2272
772	7703	2262
773	7711	2251
774	7720	2241
775	7728	2230
776	7736	2220
777	7745	2210
778	7753	2199
779	7762	2189
780	7771	2179
781	7779	2168
782	7787	2158
783	7796	2147
784	7804	2137
785	7812	2127
786	7820	2116
787	7828	2106
788	7837	2095
789	7845	2085
790	7854	2075
791	7861	2064
792	7870	2054
793	7878	2044
794	7887	2033
795	7896	2023
796	7904	2013
797	7913	2003
798	7921	1992
799	7929	1982
800	7938	1972
801	7946	1961
802	7954	1951
803	7963	1941
804	7971	1930
805	7979	1920
806	7988	1910
807	7997	1900
808	8007	1890
809	8018	1880
810	8027	1870
811	8037	1860
812	8047	1851
813	8057	1841
814	8067	1831
815	8076	1821
816	8087	1811
817	8098	1801
818	8110	1792
819	8122	1782
820	8140	1774
821	8149	1764
822	8167	1756
823	8177	1746
824	8186	1736
825	8197	1726
826	8207	1716
827	8217	1707
828	8227	1697
829	8236	1687
830	8246	1677
831	8256	1667
832	8266	1657
833	8275	1647
834	8284	1637
835	8294	1627
836	8303	1617
837	8312	1607
838	8322	1597
839	8332	1587
840	8341	1577
841	8351	1567
842	8361	1557
843	8370	1547
844	8380	1537
845	8390	1527
846	8399	1517
847	8408	1507
848	8418	1497
849	8427	1487
850	8436	1477
851	8446	1467
852	8456	1457
853	8466	1447
854	8476	1437
855	8485	1427
856	8495	1417
857	8504	1407
858	8514	1397
859	8523	1387
860	8533	1377
861	8542	1367
862	8552	1357
863	8562	1347
864	8573	1338
865	8583	1328
866	8592	1318
867	8602	1308
868	8612	1298
869	8622	1288
870	8631	1278
871	8641	1268
872	8650	1258
873	8660	1248
874	8671	1238
875	8681	1228
876	8690	1218
877	8701	1209
878	8710	1199
879	8719	1189
880	8729	1179
881	8738	1169
882	8748	1159
883	8758	1149
884	8768	1139
885	8778	1129
886	8787	1119
887	8797	1109
888	8806	1099
889	8816	1089
890	8826	1079
891	8835	1069
892	8845	1059
893	8854	1049
894	8864	1039
895	8874	1030
896	8883	1020
897	8892	1010
898	8901	1000
899	8911	990
900	8920	980
901	8929	970
902	8939	960
903	8948	950
904	8958	940
905	8967	930
906	8977	920
907	8987	910
908	8997	900
909	9008	890
910	9017	880
911	9027	871
912	9036	861
913	9046	851
914	9055	841
915	9065	831
916	9076	821
917	9085	811
918	9097	801
919	9107	791
920	9117	782
921	9127	772
922	9137	762
923	9146	752
924	9156	742
925	9164	732
926	9174	722
927	9183	712
928	9193	702
929	9202	692
930	9211	682
931	9221	672
932	9230	662
933	9241	653
934	9250	643
935	9260	633
936	9275	623
937	9284	613
938	9294	603
939	9305	593
940	9314	584
941	9326	574
942	9335	564
943	9345	554
944	9355	544
945	9365	534
946	9374	524
947	9383	514
948	9393	504
949	9402	494
950	9410	484
951	9418	474
952	9428	464
953	9437	455
954	9446	445
955	9457	435
956	9466	425
957	9475	415
958	9484	405
959	9492	395
960	9501	385
961	9510	375
962	9519	365
963	9527	355
964	9536	345
965	9544	335
966	9553	326
967	9562	316
